timestamp,Discharge Pressure(psi),Average Amps(Amps),Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi),Gas Lock,State,Dif
9/11/2022 11:13,694.0000153,474.0000153,56.99999809,62.0000005,101.0000038,1130.999985,0,CLEAR,0.716666667
9/11/2022 11:27,610.9999847,467.0000076,56.99999809,58.9999974,115,1195,0,CLEAR,14.35
9/11/2022 11:33,637.0000076,517.0000076,65.99999905,61.0000014,115,1260.999985,0,CLEAR,5.733333333
9/11/2022 11:41,661.9999695,542.0000076,55.99999905,56.9999993,113.0000019,1316.999969,0,HI,7.9
9/11/2022 11:53,625,455.9999847,61.99999809,57.9999983,103.9999962,1283.000031,0,CLEAR,12.18333333
9/11/2022 11:54,625,455.9999847,61.99999809,57.9999983,103.9999962,1283.000031,0,CLEAR,0.716666667
9/11/2022 12:04,637.0000076,514.0000153,63.00000191,60.0000024,110,1165,0,CLEAR,10.76666667
9/11/2022 12:13,1715,670,61.99999809,64.9999976,101.9999981,1158.000031,0,CLEAR,8.616666667
9/11/2022 12:14,1668.999939,644.0000153,61.99999809,57.9999983,98.99999619,1255,0,CLEAR,0.716666667
9/11/2022 12:32,1425,620.9999847,66.99999809,60.0000024,101.0000038,1281.000061,0,CLEAR,18.65
9/11/2022 12:52,1413.000031,612.9999924,60.99999905,57.9999983,111.0000038,1194.000015,0,CLEAR,20.08333333
9/11/2022 12:55,1413.000031,612.9999924,60.99999905,57.9999983,111.0000038,1194.000015,0,CLEAR,2.15
9/11/2022 12:55,1413.000031,612.9999924,60.99999905,57.9999983,111.0000038,1194.000015,0,CLEAR,0.716666667
9/11/2022 12:58,1643.999939,564.0000153,61.99999809,56.0000002,100,1184.000015,0,CLEAR,2.15
9/11/2022 12:59,1643.999939,564.0000153,61.99999809,56.0000002,100,1184.000015,0,CLEAR,0.716666667
9/11/2022 13:09,1643.999939,564.0000153,61.99999809,56.0000002,100,1184.000015,0,CLEAR,10.86666667
9/11/2022 13:33,1526.999969,600.9999847,63.00000191,62.9999995,111.9999981,1165,0,CLEAR,23.58333333
9/11/2022 13:53,1473.999939,522.0000076,59.00000095,64.9999976,100,1255.999985,0,CLEAR,20.08333333
9/11/2022 14:13,1458.000031,532.9999924,64.00000095,56.0000002,108.9999962,1090.999985,0,CLEAR,20.08333333
9/11/2022 14:33,1440,527.9999924,66.99999809,56.0000002,106.0000038,1114.000015,0,CLEAR,20.08333333
9/11/2022 14:53,1451.000061,542.0000076,55,56.9999993,108.9999962,1261.999969,0,CLEAR,20.1
9/11/2022 15:02,1531.000061,455.9999847,64.00000095,57.9999983,108.0000019,1050.999985,0,CLEAR,8.6
9/11/2022 15:12,1603.000031,519.0000153,68.00000191,61.0000014,111.9999981,1241.999969,0,CLEAR,10.76666667
9/11/2022 15:32,714.0000153,35.99999905,55.99999905,62.9999995,116.0000038,1066.999969,0,CLEAR,20.08333333
9/11/2022 15:53,670,37.00000048,55.99999905,54.0000021,108.0000019,1221.999969,0,CLEAR,20.08333333
9/11/2022 16:09,696.9999695,37.99999952,66.99999809,64.9999976,111.9999981,1060.999985,0,CLEAR,16.5
9/11/2022 16:10,696.9999695,37.99999952,66.99999809,64.9999976,111.9999981,1060.999985,0,CLEAR,0.716666667
9/11/2022 16:11,724.0000153,35,59.00000095,64.9999976,111.9999981,1100.999985,0,CLEAR,1.433333333
9/11/2022 16:12,724.0000153,35,59.00000095,64.9999976,111.9999981,1100.999985,0,CLEAR,0.716666667
9/11/2022 16:13,724.0000153,35,59.00000095,64.9999976,111.9999981,1100.999985,0,CLEAR,0.716666667
9/11/2022 16:33,683.0000305,37.99999952,65.99999905,51.9999981,91.00000381,1476.000061,0,CLEAR,20.1
9/11/2022 16:53,690,34.00000095,70,49.000001,90,1351.000061,0,CLEAR,20.08333333
