timestamp,Discharge Pressure(psi),Average Amps(Amps),Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi),State
11/9/2022 9:13:00 PM,1716,594,64,61,106,1249,CLEAR
11/9/2022 9:15:00 PM,1716,594,64,61,106,1249,CLEAR
11/9/2022 9:15:00 PM,1716,594,64,61,106,1249,CLEAR
11/9/2022 9:17:00 PM,1716,594,64,61,106,1249,CLEAR
11/9/2022 9:18:00 PM,1716,594,64,61,106,1249,CLEAR
11/9/2022 9:33:00 PM,1476,622,63,64,116,1208,CLEAR
11/9/2022 9:53:00 PM,1646,615,65,56,98,1111,CLEAR
11/9/2022 10:13:00 PM,1668,530,59,58,111,1180,CLEAR
11/9/2022 10:33:00 PM,1523,525,65,54,110,1274,CLEAR
11/9/2022 10:53:00 PM,1523,557,55,56,101,1101,CLEAR
11/9/2022 11:00:00 PM,1365,482,63,60,110,1275,CLEAR
11/9/2022 11:12:00 PM,1458,455,56,62,103,1256,CLEAR
11/9/2022 11:12:00 PM,1458,455,56,62,103,1256,CLEAR
11/9/2022 11:22:00 PM,1611,482,60,55,98,1223,CLEAR
11/9/2022 11:32:00 PM,1403,520,56,60,108,1214,CLEAR
11/9/2022 11:33:00 PM,1403,520,56,60,108,1214,CLEAR
11/9/2022 11:45:00 PM,1465,472,56,58,100,1166,CLEAR
11/9/2022 11:47:00 PM,790,41,56,56,100,1040,CLEAR
11/9/2022 11:48:00 PM,790,41,56,56,100,1040,CLEAR
11/9/2022 11:49:00 PM,790,41,56,56,100,1040,CLEAR
11/9/2022 11:50:00 PM,790,41,56,56,100,1040,CLEAR
11/9/2022 11:53:00 PM,790,41,56,56,100,1040,CLEAR
11/10/2022 12:09:00 AM,690,41,60,56,111,1185,CLEAR
11/10/2022 12:28:00 AM,704,40,63,57,115,1248,CLEAR
11/10/2022 12:29:00 AM,704,40,63,57,115,1248,CLEAR
11/10/2022 12:30:00 AM,734,40,59,54,118,1025,CLEAR
11/10/2022 12:31:00 AM,734,40,59,54,118,1025,CLEAR
11/10/2022 12:33:00 AM,734,40,59,54,118,1025,CLEAR
11/10/2022 12:53:00 AM,865,40,66,57,116,1115,CLEAR
11/10/2022 1:13:00 AM,643,35,58,55,75,1466,HI
11/10/2022 1:33:00 AM,853,35,79,50,100,1226,CLEAR
11/10/2022 1:53:00 AM,844,34,71,0,85,640,CLEAR
11/10/2022 1:55:00 AM,844,34,71,0,85,640,CLEAR
11/10/2022 1:56:00 AM,831,22,75,7,71,693,CLEAR
11/10/2022 1:58:00 AM,831,22,75,7,71,693,CLEAR
11/10/2022 1:59:00 AM,831,22,75,7,71,693,CLEAR
11/10/2022 2:02:00 AM,831,22,75,7,71,693,CLEAR
11/10/2022 2:03:00 AM,705,715,66,61,101,1124,CLEAR
11/10/2022 2:05:00 AM,705,715,66,61,101,1124,CLEAR
11/10/2022 2:06:00 AM,705,715,66,61,101,1124,CLEAR
11/10/2022 2:12:00 AM,709,597,59,55,111,1200,CLEAR
11/10/2022 2:12:00 AM,709,597,59,55,111,1200,CLEAR
11/10/2022 2:32:00 AM,686,635,55,62,103,1233,CLEAR
11/10/2022 2:53:00 AM,663,594,64,56,113,1089,HI
11/10/2022 3:01:00 AM,748,527,68,62,113,1181,CLEAR
11/10/2022 3:02:00 AM,748,527,68,62,113,1181,CLEAR
11/10/2022 3:03:00 AM,748,527,68,62,113,1181,CLEAR
11/10/2022 3:03:00 AM,748,527,68,62,113,1181,CLEAR
11/10/2022 3:13:00 AM,669,594,65,66,113,1146,HI
11/10/2022 3:33:00 AM,646,605,64,62,101,1290,HI
11/10/2022 3:53:00 AM,726,550,65,60,101,1220,CLEAR
11/10/2022 4:09:00 AM,625,475,60,58,106,1298,HI
11/10/2022 4:13:00 AM,625,475,60,58,106,1298,HI
11/10/2022 4:15:00 AM,630,542,61,61,98,1200,CLEAR
11/10/2022 4:29:00 AM,645,482,56,63,115,1156,HI
11/10/2022 4:33:00 AM,645,482,56,63,115,1156,HI
11/10/2022 4:34:00 AM,612,512,56,55,113,1225,HI
11/10/2022 4:44:00 AM,685,455,61,57,108,1143,CLEAR
11/10/2022 4:52:00 AM,654,510,65,64,110,1200,CLEAR
11/10/2022 5:12:00 AM,1730,629,56,62,110,1240,CLEAR
11/10/2022 5:12:00 AM,1730,629,56,62,110,1240,CLEAR
11/10/2022 5:33:00 AM,1481,594,58,61,106,1161,CLEAR
11/10/2022 5:34:00 AM,1481,594,58,61,106,1161,CLEAR
11/10/2022 5:35:00 AM,1481,594,58,61,106,1161,CLEAR
11/10/2022 5:36:00 AM,1481,594,58,61,106,1161,CLEAR
11/10/2022 5:37:00 AM,1481,594,58,61,106,1161,CLEAR
11/10/2022 5:53:00 AM,1548,620,64,56,103,1306,CLEAR
11/10/2022 6:13:00 AM,1628,627,63,57,101,1318,CLEAR
11/10/2022 6:33:00 AM,1423,612,66,54,96,1308,CLEAR
11/10/2022 6:53:00 AM,1495,585,59,64,108,1124,CLEAR
11/10/2022 7:13:00 AM,1636,527,65,57,101,1161,CLEAR
11/10/2022 7:32:00 AM,1388,545,65,64,115,1145,CLEAR
11/10/2022 7:44:00 AM,1566,467,60,55,101,1129,CLEAR
11/10/2022 7:48:00 AM,1548,469,66,62,98,1156,CLEAR
11/10/2022 7:52:00 AM,1548,469,66,62,98,1156,CLEAR
11/10/2022 7:57:00 AM,1331,469,65,54,116,1125,CLEAR
11/10/2022 8:07:00 AM,1466,439,61,62,103,1168,CLEAR
11/10/2022 8:08:00 AM,1466,439,61,62,103,1168,CLEAR
11/10/2022 8:09:00 AM,1466,439,61,62,103,1168,CLEAR
11/10/2022 8:10:00 AM,1428,484,59,60,116,1050,CLEAR
11/10/2022 8:13:00 AM,1428,484,59,60,116,1050,CLEAR
11/10/2022 8:33:00 AM,775,35,61,60,111,1125,CLEAR
11/10/2022 8:48:00 AM,779,34,64,62,113,1283,HI
11/10/2022 8:48:00 AM,779,34,64,62,113,1283,HI
11/10/2022 8:50:00 AM,779,34,64,62,113,1283,HI
11/10/2022 8:51:00 AM,779,34,64,62,113,1283,HI
11/10/2022 8:53:00 AM,660,35,66,58,120,1050,HI
11/10/2022 9:13:00 AM,733,40,65,56,118,1229,CLEAR
11/10/2022 9:33:00 AM,655,39,63,60,106,1088,CLEAR
11/10/2022 9:53:00 AM,755,32,60,51,79,1448,CLEAR
11/10/2022 10:12:00 AM,858,30,75,0,93,196,CLEAR
11/10/2022 10:27:00 AM,774,30,69,0,79,686,CLEAR
11/10/2022 10:27:00 AM,774,30,69,0,79,686,CLEAR
11/10/2022 10:30:00 AM,774,30,69,0,79,686,CLEAR
11/10/2022 10:30:00 AM,774,30,69,0,79,686,CLEAR
11/10/2022 10:32:00 AM,774,30,69,0,79,686,CLEAR
11/10/2022 10:34:00 AM,809,27,75,28,81,690,CLEAR
11/10/2022 10:35:00 AM,809,27,75,28,81,690,CLEAR
11/10/2022 10:37:00 AM,809,27,75,28,81,690,CLEAR
11/10/2022 10:37:00 AM,809,27,75,28,81,690,CLEAR
11/10/2022 10:42:00 AM,680,640,58,64,98,1153,CLEAR
11/10/2022 10:53:00 AM,750,680,56,58,113,1198,CLEAR
11/10/2022 11:13:00 AM,663,554,65,62,106,1181,CLEAR
11/10/2022 11:21:00 AM,726,557,56,61,116,1108,CLEAR
11/10/2022 11:23:00 AM,726,557,56,61,116,1108,CLEAR
11/10/2022 11:33:00 AM,650,580,61,56,116,1215,HI
11/10/2022 11:53:00 AM,681,557,59,56,105,1191,CLEAR
11/10/2022 12:13:00 PM,724,577,65,63,98,1326,CLEAR
11/10/2022 12:33:00 PM,680,535,66,60,98,1290,CLEAR
11/10/2022 12:52:00 PM,624,479,60,62,111,1110,CLEAR
11/10/2022 12:52:00 PM,624,479,60,62,111,1110,CLEAR
11/10/2022 12:57:00 PM,650,535,63,62,108,1286,HI
11/10/2022 1:12:00 PM,612,457,60,57,116,1291,HI
11/10/2022 1:21:00 PM,700,499,63,56,116,1115,CLEAR
11/10/2022 1:27:00 PM,604,524,58,62,111,1288,HI
11/10/2022 1:33:00 PM,620,500,64,58,100,1105,CLEAR
11/10/2022 1:44:00 PM,589,475,55,60,111,1140,CLEAR
11/10/2022 1:46:00 PM,1426,684,60,62,111,1368,CLEAR
11/10/2022 1:53:00 PM,1426,684,60,62,111,1368,CLEAR
